Subject,Gender,Handedness,Age_in_Yrs,PicSeq_Unadj,PicSeq_AgeAdj,CardSort_Unadj,CardSort_AgeAdj,Flanker_Unadj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_Unadj,ReadEng_AgeAdj,PicVocab_Unadj,PicVocab_AgeAdj,ProcSpeed_Unadj,ProcSpeed_AgeAdj,ListSort_Unadj,ListSort_AgeAdj,CogFluidComp_Unadj,CogFluidComp_AgeAdj,CogEarlyComp_Unadj,CogEarlyComp_AgeAdj,CogTotalComp_Unadj,CogTotalComp_AgeAdj,CogCrystalComp_Unadj,CogCrystalComp_AgeAdj
186040,1,65,26,104.57,95.75,138.87,118.6,119.39,108.67,22,0,12780,140.056,131.6158,140.8416,146.6111,154.69,146.76,133.93,128.24,141.24,138.73,136.77,132.44,153.36,153.36,144.43,147.86
186141,1,-55,31,88.06,75.17,95.95,85.24,107.12,99.19,6,13,3854,91.02,70.66,107.78,91.24,103.01,90.33,100.43,93.3,95.71,78.67,97.37,76.99,94,71.46,99.57,74.61
186444,0,70,25,119.72,113.39,114.35,99.81,120.49,109.38,21,0,27631,114.0911,104.3064,118.0758,114.3121,122.72,112.44,112.89,103.57,122.85,113.57,124.18,115.49,127.01,122,116.77,112.48
186545,0,100,34,111.35,106.96,111.2,100.86,105.22,96.53,12,7,6884,114.4487,102.9604,103.7439,84.02151,107.8,96.97,108.06,102.63,108.54,99.73,107.75,94.09,108.72,95.04,109.32,91.36
186848,0,-80,28,109.47,101.87,104.86,90.11,89.47,77.03,8,11,2260,103.4207,87.40129,110.8262,104.396,97.15,75.77,93.9,80.7,95.79,72.52,102.06,81.68,98.33,76.8,107.33,92.73
186949,1,20,25,91.48,77.27,118.76,104.39,102.64,91.1,14,5,9401,111.1594,98.90871,104.9501,92.13373,99.14,79.15,112.89,103.57,103.17,83.7,103.1,83.43,104.31,86.06,108.35,94.74
187143,1,50,28,102.38,92.42,106.28,91.67,96.14,84.16,22,0,24206.5,125,120.43,123.59,121.65,87.68,64.96,117.39,108.26,99.38,77.95,106.7,88.87,114.68,103.61,125.95,125.8
187345,0,85,31,135.55,134.81,123.23,113.07,116.43,109.61,19,0,14340,125.4287,119.1813,130.0463,127.1674,152.77,144.44,126.18,122.75,142.3,145.79,137.77,137.04,153.36,153.36,129.05,127.04
187547,0,100,32,112.39,109.02,121.77,111.67,125.05,116.1,7,12,1989,122.27,115.46,113.48,102.07,117.87,112.35,126.18,122.75,127.07,127.72,124.25,119.24,133.34,130.28,118.93,111.13
187850,1,55,22,109.04,103.95,119.87,110.04,118.12,111.19,20,0,27755,103.2814,85.65025,104.8351,85.36307,129.82,128.38,104.06,97.6,119.3,117.28,115.36,106.77,113.24,102.61,104.19,81.96
188145,0,65,32,135.55,134.81,118.18,108.03,96.47,86.46,24,0,22079,123.4163,116.6807,124.4889,117.9964,112.27,104.04,126.18,122.75,122.45,120.56,124.96,120.52,134.28,131.27,125.37,121.98
188347,0,100,28,116.13,110.97,113.9,99.21,115.38,105.31,11,8,3850,102.25,86.04,106.23,94.89,124.93,115.61,117.39,108.26,122.02,112.68,115.26,102.48,115.91,105.08,104.34,86.75
188448,0,75,25,125.71,121.69,123.99,110.14,112.77,102.2,20,0,8844.5,125.3169,120.881,122.8005,120.2452,121.22,110.48,126.18,118.14,129.99,122.43,129.01,123.07,140.75,137.97,125.51,125.49
188549,1,80,23,100.18,88.59,112.62,97.96,123.46,112.1,20,0,34215.5,124.1721,119.2796,122.2997,119.7518,90.59,67.76,96.99,85.26,102.94,83.35,117.78,107.04,116.57,106.51,124.35,124.33
188751,1,70,28,135.55,130.24,126.06,112.28,112.77,102.2,12,7,8215,119.9379,113.71,110.4183,103.411,122.72,112.44,112.89,103.57,130.02,122.44,128.87,122.82,132.95,128.69,115.61,110.76
189349,0,90,26,87.75,72.74,126.58,112.64,119.97,108.99,21,0,14580,111.17,98.92,109.36,100.98,117.67,105.63,108.06,98.44,113.19,99.23,111.89,97.4,113.36,101.46,110.45,99.85
189450,1,80,23,104.53,95.65,103.5,88.95,103.64,92.12,6,13,4240,109.59,96.61,108.1,98.42,99.55,79.72,100.43,89.14,99.87,78.65,103.85,84.27,102.34,82.72,109.08,96.7
